id,name,degree,clustering
YKR026C,GCN3,1,0.0
YGL122C,NAB2,3,0.0
YGR218W,CRM1,1,0.0
YGL097W,SRM1,3,0.0
YOR204W,DED1,1,0.0
YLR249W,YEF3,2,0.0
YPR080W,TEF1,2,0.0
YBR118W,TEF2,2,0.0
YLR293C,GSP1,1,0.0
YMR146C,TIF34,1,0.0
YDR429C,TIF35,3,0.0
YFL017C,GNA1,5,0.0
YAL003W,EFB1,2,0.0
YOL123W,HRP1,2,0.0
YGL044C,RNA15,1,0.0
YPL211W,NIP7,1,0.0
YGR014W,MSB2,3,0.0
YJL030W,MAD2,2,0.0
YGL229C,SAP4,2,0.0
YJL013C,MAD3,2,0.0
YGR203W,YGR203W,1,0.0
YIL061C,SNP1,5,0.0
YCR084C,TUP1,2,0.0
YBR112C,SSN6,1,0.0
YCL067C,ALPHA2,6,0.267
YER112W,LSM4,2,0.0
YOR167C,RPS28A,4,0.0
YJR022W,LSM8,7,0.0
YNR050C,LYS9,2,0.0
YNL050C,YNL050C,1,0.0
YEL015W,YEL015W,2,0.0
YLR264W,RPS28B,4,0.0
YNR053C,YNR053C,3,0.0
YER116C,YER116C,1,0.0
YDL013W,HEX3,3,0.0
YNL307C,MCK1,2,0.0
YAL038W,CDC19,3,0.0
YNL216W,RAP1,17,0.0
YCR012W,PGK1,3,0.0
YGR254W,ENO1,2,0.0
YHR174W,ENO2,2,0.0
YIL133C,RPL16A,2,0.0
YLR044C,PDC1,3,0.0
YOL120C,RPL18A,1,0.0
YNL301C,RPL18B,1,0.0
YCL030C,HIS4,3,0.0
YDR171W,HSP42,1,0.0
YBR093C,PHO5,2,0.0
YER074W,RPS24A,1,0.0
YIL069C,RPS24B,1,0.0
YOL127W,RPL25,2,0.0
YDR050C,TPI1,2,0.0
YOL086C,ADH1,2,0.0
YAL030W,SNC1,2,0.0
YER143W,DDI1,2,0.0
YOR327C,SNC2,2,0.0
YER062C,HOR2,1,0.0
YPL201C,YPL201C,1,0.0
YDR412W,YDR412W,7,0.0
YCR086W,YCR086W,2,0.0
YGL013C,PDR1,3,0.0
YLR117C,SYF3,2,0.0
YPR119W,CLB2,2,0.0
YDL014W,NOP1,2,1.0
YOR310C,NOP5,2,1.0
YER179W,DMC1,3,0.0
YLR134W,PDC5,1,0.0
YIL105C,YIL105C,2,0.0
YOR361C,PRT1,3,0.333
YMR309C,NIP1,3,0.333
YOR326W,MYO2,2,0.0
YGL106W,MLC1,1,0.0
YMR186W,HSC82,2,0.0
YBR155W,CNS1,2,0.0
YEL009C,GCN4,7,0.0
YMR108W,ILV2,1,0.0
YOR202W,HIS3,2,0.0
YBR248C,HIS7,1,0.0
YOL058W,ARG1,2,0.0
YMR300C,ADE4,1,0.0
YMR138W,CIN4,3,0.0
YHR141C,RPL42B,1,0.0
YLR109W,AHP1,1,0.0
YCL032W,STE50,4,0.167
YDR032C,YDR032C,1,0.0
YLR362W,STE11,9,0.028
YDR103W,STE5,2,1.0
YJR060W,CBF1,2,0.0
YBR019C,GAL10,3,0.667
YOL051W,GAL11,5,0.4
YGL035C,MIG1,11,0.055
YBR020W,GAL1,4,0.5
YLR081W,GAL2,2,1.0
YPL248C,GAL4,10,0.178
YBR018C,GAL7,2,1.0
YIR009W,MSL1,5,0.0
YKR099W,BAS1,3,0.0
YIL143C,SSL2,2,0.0
YDR184C,ATC1,2,0.0
YNL091W,YNL091W,3,0.0
YNL236W,SIN4,2,0.0
YKL012W,PRP40,3,0.0
YML032C,RAD52,2,0.0
YNL312W,RFA2,2,0.0
YLR116W,MSL5,2,0.0
YOR264W,YOR264W,2,0.0
YDR309C,GIC2,1,0.0
YLR229C,CDC42,2,0.0
YGR058W,YGR058W,2,0.0
YJR109C,CPA2,1,0.0
YOR303W,CPA1,2,0.0
YLR256W,HAP1,4,0.0
YML054C,CYB2,2,0.0
YJR048W,CYC1,5,0.2
YEL039C,CYC7,1,0.0
YGL237C,HAP2,2,1.0
YBL021C,HAP3,2,1.0
YDR311W,TFB1,2,0.0
YKL028W,TFA1,1,0.0
YPL149W,APG5,2,0.0
YHR171W,APG7,3,0.0
YBR217W,APG12,2,0.0
YKL109W,HAP4,4,0.333
YMR043W,MCM1,18,0.059
YIL015W,BAR1,2,1.0
YJL159W,HSP150,2,0.0
YKR097W,PCK1,2,0.0
YGR108W,CLB1,3,0.333
YDR461W,MFA1,3,0.667
YNL145W,MFA2,3,0.667
YJL157C,FAR1,4,0.167
YFL026W,STE2,3,0.667
YNR007C,AUT1,2,0.0
YJL203W,PRP21,2,0.0
YOL136C,PFK27,1,0.0
YLL021W,SPA2,2,0.0
YJL219W,HXT9,2,0.0
YOL156W,HXT11,2,0.0
YKL101W,HSL1,1,0.0
YBR160W,CDC28,3,0.333
YBL005W,PDR3,2,0.0
YDR323C,PEP7,2,0.0
YOR036W,PEP12,6,0.067
YGL008C,PMA1,2,0.0
YER040W,GLN3,3,0.0
YPR035W,GLN1,1,0.0
YGR019W,UGA1,1,0.0
YNL098C,RAS2,1,0.0
YLR310C,CDC25,2,0.0
YGL115W,SNF4,2,0.0
YGL208W,SIP2,1,0.0
YPL089C,RLM1,2,0.0
YHR030C,SLT2,4,0.0
YJL089W,SIP4,4,0.0
YER065C,ICL1,2,0.0
YLR377C,FBP1,2,0.0
YMR021C,MAC1,2,0.0
YLR214W,FRE1,1,0.0
YDR335W,MSN5,2,0.0
YDR174W,HMO1,3,0.0
YLL028W,TPO1,1,0.0
YGL166W,CUP2,3,0.0
YDL081C,RPP1A,1,0.0
YLR340W,RPP0,1,0.0
YKL074C,MUD2,2,0.0
YML064C,TEM1,4,0.0
YHR135C,YCK1,2,0.0
YNL116W,YNL116W,1,0.0
YNL047C,YNL047C,2,0.0
YNL154C,YCK2,2,0.0
YKL204W,YKL204W,1,0.0
?,?,3,0.333
YJR066W,TOR1,1,0.0
YDR382W,RPP2B,2,0.0
YDL130W,RPP1B,1,0.0
YFL039C,ACT1,3,0.0
YCL040W,GLK1,1,0.0
YHR179W,OYE2,1,0.0
YPL075W,GCR1,7,0.0
YNL199C,GCR2,3,0.0
YPR048W,TAH18,3,0.0
YLR321C,SFH1,2,0.0
YBR072W,HSP26,1,0.0
